Group,13c,18o,ID,Site ,Ref,Type,Notes
1,-13.1,27.9,BC 05,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.9,27.3,BC 07,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.6,28,BC 11,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.3,24.7,BC 12,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-14.3,28,BC 16,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.8,27.2,BC 19,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.6,25.7,BC 20,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-12.9,25.2,BC 23,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-14.1,26.8,BC 24,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.5,26.4,BC 25,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.6,26,BC 34,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.9,26.9,BC 35,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.3,27.8,BC 41,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.8,27.4,BC 43,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.4,26.9,BC 45,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.4,27.5,BC 47,Ban Chiang,Bentley et al. 2005,Enamel apatite,
1,-13.7,24.7,BCES 01,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.2,27.3,BCES 02,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.4,27.6,BCES 19,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.8,27,BCES 22,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.4,27.4,BCES 24,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.8,27.3,BCES 27,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.8,28.2,BCES 28,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.5,26.3,BCES 29,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-12.3,27.5,BCES 31,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.5,26.3,BCES 33,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-11.8,26.7,BCES 34,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.6,25.5,BCES 35,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-14,26.5,BCES 46,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.7,27.2,BCES 47,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.7,28.2,BCES 50,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.1,26.8,BCES 51,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.6,28,BCES 55,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.8,26,BCES 56,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.7,25.9,BCES 57,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.1,25.8,BCES 59,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.1,28.1,BCES 65,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
1,-13.5,27.1,BCES 72,Ban Chiang Eastern Soi,Bentley et al. 2005,Enamel apatite,
